,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
23,CiviCRM,"Contact relationship management for non-profits, NGOs and advocacy organizations","php,  javascript,  mysql,  angularjs,  d3js",https://summerofcode.withgoogle.com/archive/2016/organizations/4866334043144192/
24,Classical Language Toolkit,NLP for the ancient world,"python,  javascript,  java",https://summerofcode.withgoogle.com/archive/2016/organizations/5724313353191424/
25,CloudCV,CloudCV - Large Scale Distribution Vision algorithms as a Cloud Service,"python,  javascript,  lua,  caffe,  torch",https://summerofcode.withgoogle.com/archive/2016/organizations/4785685563179008/
26,Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,"webgl,  javascript,  mysql,  react",https://summerofcode.withgoogle.com/archive/2016/organizations/5954364552249344/
27,Computational Science and Engineering at TU Wien,We bundle TU Wien's open source efforts in the area of science and engineering,"javascript,  html,  css,  java,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/5902411419877376/
28,Copyleft Games,"Tools, libraries, and engines to help in game development","python,  opengl,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/5222096653254656/
29,coreboot,fast and flexible Open Source firmware,"c,  assembly,  open hardware",https://summerofcode.withgoogle.com/archive/2016/organizations/6036378966032384/
30,CVXPY,CVXPY is a Python-embedded modeling language for convex optimization problems.,python,https://summerofcode.withgoogle.com/archive/2016/organizations/6020075270176768/
31,D Foundation,The D Foundation leads development of the D Programming Language.,"dlang,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/4688223091556352/
32,dbpediaspotlight,"Information Extraction framework from Wikipedia, Wikidata & Commons","java,  scala,  rdf,  python,  nosql",https://summerofcode.withgoogle.com/archive/2016/organizations/6313893177589760/
33,Debian Project,The Universal Operating System,"python,  c,  c++,  ruby,  django",https://summerofcode.withgoogle.com/archive/2016/organizations/4808739873882112/
34,Discourse,A next-generation discussion forum.,"ruby,  ruby on rails,  javascript,  ember,  docker",https://summerofcode.withgoogle.com/archive/2016/organizations/6414446415052800/
35,Distributed and Unified Numerics Environment (DUNE),DUNE is a modular toolbox for solving PDEs with grid-based methods.,"c++,  python,  cmake",https://summerofcode.withgoogle.com/archive/2016/organizations/5457125316755456/
36,Django Software Foundation,The web framework for perfectionists with deadlines.,"python,  django",https://summerofcode.withgoogle.com/archive/2016/organizations/5977934124810240/
37,Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Websites, databases, +more","php,  symfony,  sql,  javascript,  html5",https://summerofcode.withgoogle.com/archive/2016/organizations/4644948074823680/
38,Eclipse Foundation,Eclipse is a community who collaborates on open source software.,"java,  geospatial,  c/c++",https://summerofcode.withgoogle.com/archive/2016/organizations/6236335463464960/
39,Fedora Project,Lead the advance of Free/Open Source Software/Content as collaborative community,"python,  flask,  postgresql,  html5,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5911585470021632/
40,FFmpeg,Cross-platform software to convert audio and video.,"c,  asm,  git",https://summerofcode.withgoogle.com/archive/2016/organizations/4753437874978816/
41,FOSDEM VZW,The organization that handles all aspects of the FOSDEM conference,"ruby on rails,  postgresql,  git",https://summerofcode.withgoogle.com/archive/2016/organizations/4603925500002304/
42,FOSSASIA,Open Technologies for Social Change,"javascript,  android,  python,  java,  json api",https://summerofcode.withgoogle.com/archive/2016/organizations/4912324552949760/
43,Free and Open Source Silicon Foundation,"Free and Open Source Digital Designs and their Ecosystem, EDA Tools and OpenRISC","open hardware,  fpga,  compiler,  python,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5210550707421184/
44,FreeBSD,FreeBSD: The Foundation of the Internet,"c/c++,  clang,  llvm,  shell script,  make",https://summerofcode.withgoogle.com/archive/2016/organizations/5673385510043648/
45,Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"openwrt,  olsr,  batman,  c,  lua",https://summerofcode.withgoogle.com/archive/2016/organizations/6540884078231552/
46,Gambit - Software Tools for Game Theory,Software for Analysis of Game Theory Models,javascript,https://summerofcode.withgoogle.com/archive/2016/organizations/6393779032424448/
47,Ganeti,Cluster virtual server management software,"python,  haskell,  kvm,  xen,  virtualization",https://summerofcode.withgoogle.com/archive/2016/organizations/5865050841546752/
48,"Genes, Genomes and Variation",Ensembl Genome Browsers,"mysql,  javascript,  perl",https://summerofcode.withgoogle.com/archive/2016/organizations/6638327222501376/
49,Gentoo Foundation,"A flexible, source-based Linux distribution.","shell script,  c/c++,  python,  perl,  sql",https://summerofcode.withgoogle.com/archive/2016/organizations/6575198987878400/
50,Git,"fast, scalable, distributed revision control system","c,  shell script,  git",https://summerofcode.withgoogle.com/archive/2016/organizations/5532648021688320/
51,GitHub,How people build software,"git,  atom,  node.js,  ruby,  c#",https://summerofcode.withgoogle.com/archive/2016/organizations/5632763172487168/
52,Global Alliance for Genomics & Health,GA4GH develops open standards and tools for genomics to benefit human health,"python,  java,  protobuf,  sql",https://summerofcode.withgoogle.com/archive/2016/organizations/6536303764045824/
53,GNOME,"Ease, comfort and control","c,  python,  javascript,  gtk+",https://summerofcode.withgoogle.com/archive/2016/organizations/6228320517619712/
54,gnss-sdr,GNSS-SDR is an open source Global Navigation Satellite Systems software receiver,"c/c++,  c++11,  c++14,  gnss",https://summerofcode.withgoogle.com/archive/2016/organizations/5800194151022592/
55,GNU Mailman,Mailman is free software for managing electronic mailing lists.,"python,  email,  django",https://summerofcode.withgoogle.com/archive/2016/organizations/5729825406844928/
56,GNU Octave,GNU Octave : Free Your Numbers.,"hg,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/4799884188188672/
57,GNU Project,The GNU Operating System,"posix,  c,  lisp,  python,  eiffel",https://summerofcode.withgoogle.com/archive/2016/organizations/4828960579911680/
58,GNU Radio,The Free and Open Software Radio Ecosystem,"c++,  python,  software radio,  dsp,  rf",https://summerofcode.withgoogle.com/archive/2016/organizations/6221912157978624/
59,GPAC,GPAC - Multimedia Open-Source Project,"mp4,  dash,  mp4box,  javascript,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/4917249001390080/
60,Green Navigation,"Routing Service for finding the shortest, fastest and most energy efficient way.","javascript,  postgresql,  polymer,  go,  electromobility",https://summerofcode.withgoogle.com/archive/2016/organizations/6442287735242752/
61,gRPC,"A high performance, open source, general RPC framework.","distributed systems,  networking,  micro-services,  scalability,  http/2",https://summerofcode.withgoogle.com/archive/2016/organizations/5034912851689472/
62,Health Information Systems Programme,Health information system which is being used by 47 countries across world.,"java,  android,  javascript,  reactjs,  gradle",https://summerofcode.withgoogle.com/archive/2016/organizations/5849050746191872/
63,Homebrew,Package management software for OS X.,"ruby,  git,  osx",https://summerofcode.withgoogle.com/archive/2016/organizations/5422996969750528/
64,Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript,  jquery,  html5,  css,  node.js",https://summerofcode.withgoogle.com/archive/2016/organizations/4725596554788864/
65,Indic Project,Improving Information Infrastructure and Access to Knowledge in Indian languages,"android,  python,  javascript,  ruby on rails,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/5096012251136000/
66,Inkscape,"Inkscape is a professional vector graphics editor for Windows, OS X, and Linux.","c++,  python,  svg,  css,  gtk+",https://summerofcode.withgoogle.com/archive/2016/organizations/5665370564198400/
67,International Neuroinformatics Coordinating Facility,Advancing global collaborative brain research,"c++,  python,  gpu,  javascript,  java",https://summerofcode.withgoogle.com/archive/2016/organizations/6563422992859136/
68,Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for sofware verification,"java,  jvm,  android,  distributed systems",https://summerofcode.withgoogle.com/archive/2016/organizations/4723150839349248/
69,JBoss Community,Community of Java projects around JBoss Middleware,"java,  android,  ide,  aerogear,  asciidoctor",https://summerofcode.withgoogle.com/archive/2016/organizations/6177116454387712/
70,Jenkins Project,Jenkins is an open-source automation server,"java,  groovy,  jenkins,  css,  html",https://summerofcode.withgoogle.com/archive/2016/organizations/4879888423059456/
71,Joomla!,"A Free and Open Source CMS, Trusted By Millions for their Websites","php,  css,  html,  javascript,  jquery",https://summerofcode.withgoogle.com/archive/2016/organizations/6222406616088576/
72,jQuery Foundation,"jQuery Foundation - home of jQuery, Dojo and many other JavaScript libraries","javascript,  html5,  css,  jquery",https://summerofcode.withgoogle.com/archive/2016/organizations/5754903989321728/
73,JSK Robotics Laboratory,JSK Robotics Laboratory / The University of Tokyo,"euslisp,  openhrp,  openrtm,  ros",https://summerofcode.withgoogle.com/archive/2016/organizations/5081151127420928/
74,KDE,KDE is an international technology team that creates user-friendly software,"qt,  cmake,  c++,  php",https://summerofcode.withgoogle.com/archive/2016/organizations/5267579820048384/
75,KolibriOS,KolibriOS Project team,"fasm,  flat assembler,  x86 assembly,  i386,  i586",https://summerofcode.withgoogle.com/archive/2016/organizations/5678701068943360/
76,LabLua,LabLua - Lua programming language research lab at PUC-Rio,"lua,  luarocks,  elasticsearch,  netbsd,  céu",https://summerofcode.withgoogle.com/archive/2016/organizations/4733835644239872/
77,LibreOffice,LibreOffice is a powerful cross-platform office suite.,"c++,  python,  java,  android,  opengl",https://summerofcode.withgoogle.com/archive/2016/organizations/6301550246887424/
78,Libvirt,Stable API for easier virtualization.,"c,  qemu,  xen,  containers",https://summerofcode.withgoogle.com/archive/2016/organizations/5512427315658752/
79,Liquid Galaxy Project,Liquid Galaxy Project: wraparound open-source immersion!,"javascript,  ros,  gis,  cesium",https://summerofcode.withgoogle.com/archive/2016/organizations/6555183903408128/
80,lowRISC,Creating a fully open-source SoC design,"verilog,  fpga,  chisel,  c++,  linux",https://summerofcode.withgoogle.com/archive/2016/organizations/4969698068267008/
81,MariaDB,One of the most popular databases on the web with many notable users,"mysql,  mariadb,  c,  perl",https://summerofcode.withgoogle.com/archive/2016/organizations/4961683122421760/
82,Matrix.org,"An ambitious opensource project creating a new, decentralised comms ecosystem.","react,  android,  ios,  golang,  python",https://summerofcode.withgoogle.com/archive/2016/organizations/6552738187968512/
83,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano",MBDyn is a multidisciplinary Multibody Dynamics scientific simulation software.,c++,https://summerofcode.withgoogle.com/archive/2016/organizations/6241651022364672/
84,McGill Space Institute,Center bringing together scientists doing space-related research at McGill,"python,  sql,  databases,  big data",https://summerofcode.withgoogle.com/archive/2016/organizations/4739150934704128/
85,MetaBrainz Foundation,We curate data and make it freely available!,"python,  perl,  postgresql,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/4969202133762048/
86,Mifos Initiative,End Poverty One Line of Code at a Time,"java,  javascript,  angularjs,  android,  mysql",https://summerofcode.withgoogle.com/archive/2016/organizations/5830829079003136/
87,MIT Media Lab,Build Your own Android Apps!,"java,  html/javascript,  android",https://summerofcode.withgoogle.com/archive/2016/organizations/5954860486754304/
88,Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","c++11,  c++,  qt,  audio,  opengl",https://summerofcode.withgoogle.com/archive/2016/organizations/5027086615969792/
89,mlpack: a scalable C++ machine learning library,a scalable C++ machine learning library,c++,https://summerofcode.withgoogle.com/archive/2016/organizations/5115751115522048/
90,Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,"c++,  ros,  opencv,  cmake,  qt",https://summerofcode.withgoogle.com/archive/2016/organizations/5644101080842240/
91,ModSecurity,ModSecurity cross platform web application firewall,"waf,  web application firewall",https://summerofcode.withgoogle.com/archive/2016/organizations/6377072951820288/
92,Moodle,The world's open source learning platform,"php,  jquery,  mysql,  postgresql,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/4769741570834432/
93,MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,"java,  lwjgl,  opengl,  blender,  gradle",https://summerofcode.withgoogle.com/archive/2016/organizations/5187993270747136/
94,Mozilla,We're building a better Internet,"c++,  python,  javascript,  html,  rust",https://summerofcode.withgoogle.com/archive/2016/organizations/5282259481395200/
95,MuseScore,"MuseScore: Create, play and print beautiful sheet music","qt,  c/c++,  qml",https://summerofcode.withgoogle.com/archive/2016/organizations/5302100888125440/
96,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"c++,  java,  javascript,  php,  python",https://summerofcode.withgoogle.com/archive/2016/organizations/6599328919453696/
97,Netfilter project,Netfilter project,"firewall,  linux kernel,  networking",https://summerofcode.withgoogle.com/archive/2016/organizations/6465361373298688/
98,Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,"c/c++,  lua,  python,  c,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/5391414598828032/
99,NumFOCUS,NumFOCUS promotes open source scientific software.,"python,  javascript,  julia,  r",https://summerofcode.withgoogle.com/archive/2016/organizations/4647600753999872/
100,Open Bioinformatics Foundation,Supporting OSS and Open Science in the biological research community.,"perl,  python,  ruby,  java,  haskell",https://summerofcode.withgoogle.com/archive/2016/organizations/5480198954811392/
101,Open Chemistry,Open source chemistry software libraries and tools,"c++,  opengl,  python,  javascript,  webgl",https://summerofcode.withgoogle.com/archive/2016/organizations/6038224459792384/
102,Open Detection,Open Detection is a open source project for object detection and recognition.,"c/c++,  cmake,  opencv,  pcl,  caffe",https://summerofcode.withgoogle.com/archive/2016/organizations/4634560427982848/
103,Open Ephys,Open-source electrophysiology,"c++,  juce",https://summerofcode.withgoogle.com/archive/2016/organizations/5166380995313664/
104,Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,"python,  java,  html/javascript,  nodejs,  gwt",https://summerofcode.withgoogle.com/archive/2016/organizations/5362834141609984/
105,Open Source Robotics Foundation,"Open source software for use in robotics research, education, and industry.","ros,  gazebo",https://summerofcode.withgoogle.com/archive/2016/organizations/5925784095031296/
106,OpenAstronomy,Confederation of open source projects in Astronomy,"python,  julia,  c,  numpy",https://summerofcode.withgoogle.com/archive/2016/organizations/5193799529660416/
107,OpenCV,Open Source Computer Vision and Machine Learning Library,"c++,  python,  machine learning,  computer vision",https://summerofcode.withgoogle.com/archive/2016/organizations/6474535423442944/
108,OpenKeychain (OpenPGP for Android),OpenKeychain: Easy PGP for Android,"android,  openpgp",https://summerofcode.withgoogle.com/archive/2016/organizations/5672889575538688/
109,OpenMRS,Write code. Save lives.,"java,  groovy,  html5,  xml,  hibernate",https://summerofcode.withgoogle.com/archive/2016/organizations/5007071531499520/
110,OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,"postgis,  java,  ruby,  javascript,  opengl",https://summerofcode.withgoogle.com/archive/2016/organizations/6253041544069120/
111,openSUSE,"openSUSE Linux - The makers' choice for sysadmins, developers and desktop users","ruby on rails,  angularjs,  docker,  linux,  ruby",https://summerofcode.withgoogle.com/archive/2016/organizations/5377981685956608/
112,Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,"javascript,  app engine,  python,  css,  angularjs",https://summerofcode.withgoogle.com/archive/2016/organizations/4668002385526784/
113,Orange – Data Mining Fruitful & Fun,"A cross-platform, visual-programming tool for data mining and visualization.","python,  cython,  qt,  machine learning",https://summerofcode.withgoogle.com/archive/2016/organizations/6400146589876224/
114,OSGeo - The Open Source Geospatial Foundation,The Open Source Geospatial Foundation,"python,  sql,  c,  ogc standards,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/6434461499523072/
115,OSU Open Source Lab,OSU Open Source Lab,"python,  rest,  javascript,  ruby",https://summerofcode.withgoogle.com/archive/2016/organizations/4845666660515840/
116,OWASP Foundation,"OWASP, The Open Web Application Security Project.","python,  php,  javascript,  java,  html",https://summerofcode.withgoogle.com/archive/2016/organizations/5895641477677056/
117,ownCloud,A safe home for all your data,"javascript,  php,  css,  html,  sql",https://summerofcode.withgoogle.com/archive/2016/organizations/5750943224168448/
118,P2PSP.org,Shaping the future Internet TV,"python,  c++,  webrtc,  android,  ios",https://summerofcode.withgoogle.com/archive/2016/organizations/5845209434816512/
119,Peragro,Digital Assets Managed Neatly,"python,  blender,  javascript,  celery,  django",https://summerofcode.withgoogle.com/archive/2016/organizations/5191954035900416/
120,Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,"golang,  ruby,  java,  linux kernel,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5989788234547200/
121,Physical Web Project,The Physical Web Project develops use cases around Google's the Physical Web IoT,"internet of things,  beacons,  python,  arduino",https://summerofcode.withgoogle.com/archive/2016/organizations/5971566567358464/
122,PLASMA-UMass,"PLASMA explores ways to make programming languages faster, safer, and easier.","javascript,  c/c++,  scala,  go",https://summerofcode.withgoogle.com/archive/2016/organizations/6066521583386624/
123,Plone Foundation,The premier python-based content management system,"python,  zope,  javascript,  rest,  nosql",https://summerofcode.withgoogle.com/archive/2016/organizations/4815031732535296/
124,Portland State University,Portland State University,"open hardware,  language-agnostic",https://summerofcode.withgoogle.com/archive/2016/organizations/5206770867765248/
125,PRISM Model Checker,PRISM is a tool for formally verifying the correctness of probabilistic systems.,"java,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/4609839401533440/
126,Public Lab,Open hardware and software to help communities measure and analyze pollution,"javascript,  ruby on rails,  leaflet,  webrtc",https://summerofcode.withgoogle.com/archive/2016/organizations/5680316245082112/
127,Python Software Foundation,Python is programming language popular among scientists and more.,"python,  mercurial",https://summerofcode.withgoogle.com/archive/2016/organizations/5597862805110784/
128,QEMU,Open source machine emulator and virtualizer,"c,  assembly,  kvm",https://summerofcode.withgoogle.com/archive/2016/organizations/5308561592680448/
129,R project for statistical computing,R is a free software environment for statistical computing and graphics,"r,  c,  c++,  fortran",https://summerofcode.withgoogle.com/archive/2016/organizations/6032418200879104/
130,radare,radare is a reverse engineering framework and toolset,"c,  rust",https://summerofcode.withgoogle.com/archive/2016/organizations/6043148908232704/
131,ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c/c++,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/5590036569391104/
132,Red Hen Lab,Red Hen Lab: Research on Multimodal Communication,"high performance computing,  machine learning,  opencv,  audio procesing,  multimodal analysis",https://summerofcode.withgoogle.com/archive/2016/organizations/5973353810624512/
133,Robocomp,A framework for creating and modifying software components for robotics.,"c++,  python,  zeroc ice,  cmake,  gnu/linux",https://summerofcode.withgoogle.com/archive/2016/organizations/6723762711953408/
134,RTEMS Project,Open Source Deterministic Real-Time Operating System for Embedded Systems,"c,  python,  waf,  embedded systems",https://summerofcode.withgoogle.com/archive/2016/organizations/6376577017315328/
135,Ruby,"The Ruby programming language, libraries, and tools",ruby,https://summerofcode.withgoogle.com/archive/2016/organizations/5274246683033600/
136,Ruby Science Foundation,Tools for Scientific Computing in Ruby,"ruby,  c programming,  jruby,  c/c++",https://summerofcode.withgoogle.com/archive/2016/organizations/6193060446732288/
137,Sage Mathematical Software System,open-source mathematical software system,"python,  javascript,  cython,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/5316387828400128/
138,Scala,The programming language where object-oriented meets functional.,"scala,  jvm",https://summerofcode.withgoogle.com/archive/2016/organizations/5069813219065856/
139,Scilab Enterprises,Numerical computation IDE for engineering and scientific applications,"scilab,  c++,  java,  c,  fortran",https://summerofcode.withgoogle.com/archive/2016/organizations/5960176045654016/
140,ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++,  sdl,  opengl,  assembly",https://summerofcode.withgoogle.com/archive/2016/organizations/5518719174311936/
141,Shogun Machine Learning Toolbox,Unified and efficient Machine Learning.,"c++,  python,  swig,  cmake",https://summerofcode.withgoogle.com/archive/2016/organizations/5799699692912640/
142,Sigmah,Open source information management software for international aid projects,"java,  gwt",https://summerofcode.withgoogle.com/archive/2016/organizations/5462098352013312/
143,Soletta Project,Soletta Project is an open source framework for making IoT applications,"c,  python,  javascript,  networking,  machine learning",https://summerofcode.withgoogle.com/archive/2016/organizations/6477188102619136/
144,Stony Brook University Biomedical Informatics,Biomedical Informatics at Stony Brook University,"medical imaging,  bioinformatics,  hadoop,  big data",https://summerofcode.withgoogle.com/archive/2016/organizations/6715936476233728/
145,strace,linux syscall tracer,"linux,  c,  git,  shell script,  make",https://summerofcode.withgoogle.com/archive/2016/organizations/5410403857203200/
146,Sugar Labs,Learning software for children,"python,  javascript,  gtk+",https://summerofcode.withgoogle.com/archive/2016/organizations/6254828787335168/
147,Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","java,  android,  hadoop,  python,  golang",https://summerofcode.withgoogle.com/archive/2016/organizations/4828464645406720/
148,SymPy,Computer algebra system in Python,"python,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/6281948016148480/
149,"Systers, an Anita Borg Institute Community",Increasing the number of women in computing fields and technology.,"python,  android,  ios,  mysql,  ruby on rails",https://summerofcode.withgoogle.com/archive/2016/organizations/5689792285114368/
150,TARDIS-SN,Unravelling Cosmic Explosions in Style,"python,  cython,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/6195713125908480/
151,TEAMMATES @ National University of Singapore,An online feedback management system for education,"java,  app engine,  javascript,  css,  html",https://summerofcode.withgoogle.com/archive/2016/organizations/5837196636454912/
152,The Apertium Project,A free/open-source rule-based machine translation platform,"c++,  python,  perl,  xml,  finite-state technologies",https://summerofcode.withgoogle.com/archive/2016/organizations/5377487227846656/
153,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"javascript,  scala,  java,  html5,  css",https://summerofcode.withgoogle.com/archive/2016/organizations/6259409101520896/
154,The Honeynet Project,The Honeynet Project - R&D for honeypot/honeynet technolgy and infosec research,"android,  machine learning,  honeypots,  python,  html/javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5961791221792768/
155,The Julia Language,The Julia Language,"julia,  atom,  c++,  javascript,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/5096506709245952/
156,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c,  c++,  python,  mysql,  cups",https://summerofcode.withgoogle.com/archive/2016/organizations/4711296729612288/
157,The LLVM Compiler Infrastructure,The LLVM Compiler Infrastructure,"c,  c++,  llvm,  clang",https://summerofcode.withgoogle.com/archive/2016/organizations/5806108052553728/
158,The Monarch Initiative,An informatics platform for translational disease research,"semantic web,  javascript,  text mining,  named entity recognition,  ontologies",https://summerofcode.withgoogle.com/archive/2016/organizations/5269666368847872/
159,The NetBSD Foundation,of course it runs NetBSD,"bsd,  security,  networking,  c programming,  kernel",https://summerofcode.withgoogle.com/archive/2016/organizations/6363144104443904/
160,The STE||AR Group,The STE||AR Group - Shaping a Scalable Future,"parallel processing,  high performance computing,  c++,  cuda,  opencl",https://summerofcode.withgoogle.com/archive/2016/organizations/6112304055713792/
161,The syslog-ng project,Open source log management solution with over a million users worldwide.,"c,  java,  python,  big data,  rust",https://summerofcode.withgoogle.com/archive/2016/organizations/4906518294036480/
162,The Tor Project,"Anonymity, privacy, and anti-censorship software","c,  javascript,  golang,  python,  browser extensions",https://summerofcode.withgoogle.com/archive/2016/organizations/6183886396588032/
163,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c,  opengl,  directx,  x11,  win32",https://summerofcode.withgoogle.com/archive/2016/organizations/6746836350009344/
164,Timelab Technologies Ltd.,We help scientists understanding information in time-series,"python,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/6356852245790720/
165,TimVideos.us,TimVideos.us - FOSS event recording & streaming software and hardware.,"vhdl,  verilog,  fpga,  python,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/5738600293466112/
166,Unitex/GramLab,"Unitex/GramLab is an open source, multilingual corpus processing suite","java,  c++",https://summerofcode.withgoogle.com/archive/2016/organizations/6601174413213696/
167,"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & simulation of decentralized energy systems,"python,  milp,  gis",https://summerofcode.withgoogle.com/archive/2016/organizations/5408616613937152/
