,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
0,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript,  java,  ogc standards,  web services",https://summerofcode.withgoogle.com/archive/2016/organizations/5429283996565504/
1,aimacode,"Code to accompany the book ""AI: A Modern Approach""","python,  java,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5549354102292480/
2,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Research-Intensive Open-Source Projects at Australia's Leading University,"scala,  lisp,  llvm,  python,  postgresql",https://summerofcode.withgoogle.com/archive/2016/organizations/5127141637226496/
3,Apache Software Foundation,Providing open source software to the public free of charge,"java,  ruby,  python,  javascript,  couchdb",https://summerofcode.withgoogle.com/archive/2016/organizations/5934639780724736/
4,ArchC,ArchC is an Architecture Description Language,"c++,  python,  archc",https://summerofcode.withgoogle.com/archive/2016/organizations/6488526010974208/
5,ASCEND,Equation-solving software for engineering system modelling,"python,  c,  c/c++",https://summerofcode.withgoogle.com/archive/2016/organizations/5175650340044800/
6,BeagleBoard.org,open hardware physical computing community with Linux,"beaglebone,  javascript,  python,  linux,  c",https://summerofcode.withgoogle.com/archive/2016/organizations/6012249034457088/
7,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang,  elixir,  xmpp,  beam,  mqtt",https://summerofcode.withgoogle.com/archive/2016/organizations/6384003686858752/
8,Berkman Center for Internet and Society,An interdisciplinary university-wide research center focused on the Internet,"ruby on rails,  javascript,  sql/nosql,  meteor.js,  go",https://summerofcode.withgoogle.com/archive/2016/organizations/6488734048452608/
9,BioJS,BioJS is an open source project that visualizes biological data using JavaScript,"javascript,  python",https://summerofcode.withgoogle.com/archive/2016/organizations/6650532982685696/
10,"Biomedical Informatics, Emory University",Big Data for Healthcare and Biomedical Research,"java,  medical imaging,  deep learning,  hadoop,  python",https://summerofcode.withgoogle.com/archive/2016/organizations/6000473039437824/
11,Blender Foundation,We make a 100% free/open source 3D creation pipeline.,"c,  c++,  python,  opengl",https://summerofcode.withgoogle.com/archive/2016/organizations/6317853942743040/
12,Boston University / XIA,Crowdsourcing the future Internet,"xia,  c,  linux kernel,  advanced data structures",https://summerofcode.withgoogle.com/archive/2016/organizations/5821053733437440/
13,BRL-CAD,"We develop solid modeling, CAD, CAM, & other computer-aided technologies (CAx)","opencl,  opengl,  c/c++,  python,  tcl",https://summerofcode.withgoogle.com/archive/2016/organizations/6087583029264384/
14,BuildmLearn,Building m-Learning applications,"python,  django,  bootstrap,  android",https://summerofcode.withgoogle.com/archive/2016/organizations/4929075730710528/
15,Canadian Centre for Computational Genomics (C3G) - Montreal node,Analytical solutions for Next-Generation Sequencing data,"python,  r-project,  javascript,  sql,  git",https://summerofcode.withgoogle.com/archive/2016/organizations/5630110493310976/
16,Catrobat,Our apps empower teens to visually create their own apps directly on their phone,"android,  java,  html5,  web,  javascript",https://summerofcode.withgoogle.com/archive/2016/organizations/5859735551082496/
17,cBioPortal for Cancer Genomics,Open source software solutions of precision medicine for cancer patients,"java,  javascript,  web,  html,  big data",https://summerofcode.withgoogle.com/archive/2016/organizations/5251173044977664/
18,CCExtractor Development,The de-facto standard tool for everything related to subtitles.,"c,  video,  ffmpeg,  subtitles,  linux",https://summerofcode.withgoogle.com/archive/2016/organizations/5133509194678272/
19,Celluloid,Painless multi-threaded multi-core programming for Ruby.,"ruby,  multi-threading,  multi-core,  zeromq,  high-resolution timers",https://summerofcode.withgoogle.com/archive/2016/organizations/4955769220890624/
20,Ceph,The Future of Storage,"c/c++,  python,  object-storage",https://summerofcode.withgoogle.com/archive/2016/organizations/5408317308403712/
21,CERN SFT,The SFT is part of CERN (European Organization for Nuclear Research).,"c++,  python,  javascript,  clang",https://summerofcode.withgoogle.com/archive/2016/organizations/6273708926697472/
22,Chapel,a Productive Parallel Programming Language,"python,  chapel,  c,  c++,  high performance computing",https://summerofcode.withgoogle.com/archive/2016/organizations/4704629866627072/
