,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
0,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,"web services,  ogc standards,  java,  javascript,  web",https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/
1,AboutCode,"Open Source for Open Source: software license, origin and packages discovery","python,  c/c++,  javascript,  shell script,  static analysis",https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/
2,AerospaceResearch.net,Making Space Together,"python,  c/c++,  vhdl,  boinc",https://summerofcode.withgoogle.com/archive/2017/organizations/6713622831038464/
3,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python,  javascript,  machine learning,  artificial intelligence,  java",https://summerofcode.withgoogle.com/archive/2017/organizations/6119722806411264/
4,Amahi,Making Home Networking and Storage Simple,"android,  golang,  restful api,  streaming,  ruby on rails",https://summerofcode.withgoogle.com/archive/2017/organizations/6673844588773376/
5,AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,"scala,  javascript/html/css,  automated reasoning,  android/ios,  xcode",https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/
6,Apache Software Foundation,Providing open source software to the public free of charge,"java,  c,  erlang",https://summerofcode.withgoogle.com/archive/2017/organizations/4633151007621120/
7,Apertium,Free/open-source rule-based machine translation,"c++,  xml,  python,  nlp",https://summerofcode.withgoogle.com/archive/2017/organizations/6618812501721088/
8,Apertus Association,Open Technology for Professional Film Production,"fpga,  vhdl,  c,  linux,  c++",https://summerofcode.withgoogle.com/archive/2017/organizations/6354847569805312/
9,appleseedhq,A modern open source rendering engine for animation and visual effects,"c++,  python,  qt",https://summerofcode.withgoogle.com/archive/2017/organizations/6110372931043328/
10,ArduPilot,The worlds most advanced open source autopilot,"c++,  python,  embedded,  rtos,  ros",https://summerofcode.withgoogle.com/archive/2017/organizations/5801067908431872/
11,Babel,"Babel, the community driven compiler for writing next generation JavaScript","javascript,  babel,  nodejs",https://summerofcode.withgoogle.com/archive/2017/organizations/5933754749026304/
12,Bazel,Fast and correct build system for Google scale,"java,  linux,  go",https://summerofcode.withgoogle.com/archive/2017/organizations/5765787168014336/
13,BeagleBoard.org Foundation,"open hardware physical computing for makers, educators and professionals","javascript,  linux,  beaglebone,  python,  c",https://summerofcode.withgoogle.com/archive/2017/organizations/5370804795604992/
14,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang,  elixir,  lisp,  xmpp",https://summerofcode.withgoogle.com/archive/2017/organizations/5344914732744704/
15,BeeWare Project,The IDEs of Python. Tools for cross-platform Python application development.,"python,  mobile,  ios,  android",https://summerofcode.withgoogle.com/archive/2017/organizations/5213454373748736/
16,Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development","ruby on rails,  meteor.js,  d3,  elasticsearch,  javascript",https://summerofcode.withgoogle.com/archive/2017/organizations/5825274612547584/
17,Blender Foundation,Free and open source 3D creation for artists and teams,"opengl,  opencl,  python,  c,  c++",https://summerofcode.withgoogle.com/archive/2017/organizations/6461479528169472/
18,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries.,"c++,  c++11,  c++14,  boost",https://summerofcode.withgoogle.com/archive/2017/organizations/5196100961042432/
19,Boston University / XIA,Crowdsourcing the future Internet,"xia,  linux kernel,  c,  advanced data structures",https://summerofcode.withgoogle.com/archive/2017/organizations/4874213160648704/
20,BRL-CAD,"& LibreCAD, OpenSCAD, STEPcode, LinuxCNC, FreeCAD, & Slic3r!  Computer Graphics.","c/c++,  opencl,  python,  javascript,  qt",https://summerofcode.withgoogle.com/archive/2017/organizations/5302987798872064/
21,Cadasta,"Transforming the way land & resource rights are documented, managed and stored.","python,  django,  javasc,  javascipt",https://summerofcode.withgoogle.com/archive/2017/organizations/6571413242642432/
22,Catrobat,Computational thinking for all through visual mobile programming frameworks,"android,  java,  html5,  ios,  web",https://summerofcode.withgoogle.com/archive/2017/organizations/5758529210155008/
23,cBioPortal for Cancer Genomics,Developing open source solutions for precision medicine for cancer patients,"javascript,  java,  web,  reactjs,  web services",https://summerofcode.withgoogle.com/archive/2017/organizations/4741825894023168/
24,CCExtractor Development,Tools for a subtitled world.,"c,  python,  raspberry pi,  linux,  visual studio",https://summerofcode.withgoogle.com/archive/2017/organizations/5267426006532096/
25,Ceph,The Future of Storage,"c++,  python,  object-storage",https://summerofcode.withgoogle.com/archive/2017/organizations/6399849700261888/
26,CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC","python,  c/c++,  machine learning,  data analysis,  parallel algorithms",https://summerofcode.withgoogle.com/archive/2017/organizations/6360460286754816/
27,Chapel,a Productive Parallel Programming Language,"chapel,  python,  high performance computing,  c,  c++",https://summerofcode.withgoogle.com/archive/2017/organizations/4757669491507200/
28,Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",java,https://summerofcode.withgoogle.com/archive/2017/organizations/6349316859887616/
29,Checkstyle,Dev tool to help programmers write Java code that adheres to a coding standard.,"java,  antlr",https://summerofcode.withgoogle.com/archive/2017/organizations/5883569398349824/
