,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
36,coala,Linting and Fixing Code for All Languages,"python 3,  java,  angularjs,  haskell,  docker",https://summerofcode.withgoogle.com/archive/2019/organizations/5097595045675008/
37,Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization","javascript,  react,  postgresql,  webgl",https://summerofcode.withgoogle.com/archive/2019/organizations/6093511005306880/
38,coreboot,open source firmware projects,"c,  assembler",https://summerofcode.withgoogle.com/archive/2019/organizations/6048278473342976/
39,Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.","javascript,  python,  postgresql,  wordpress,  elasticsearch",https://summerofcode.withgoogle.com/archive/2019/organizations/5500455663173632/
40,CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),"docker,  linux,  containers,  kernel",https://summerofcode.withgoogle.com/archive/2019/organizations/6267159469096960/
41,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python,  php,  mysql,  java,  html/css",https://summerofcode.withgoogle.com/archive/2019/organizations/4653253634031616/
42,D Programming Language,"Fast code, fast.","dlang,  linux,  windows,  osx,  bsd",https://summerofcode.withgoogle.com/archive/2019/organizations/6223494952517632/
43,DBpedia,Global and Unified Access to Knowledge.,"apache spark,  python,  javascript,  skala,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/5142599592050688/
44,Debian,The Universal Operating System,"git,  python,  javascript,  c/c++,  irc",https://summerofcode.withgoogle.com/archive/2019/organizations/4816120068964352/
45,Developers Italia,An open community of digital public services developers,"python,  go,  scala,  node.js,  html/css/js",https://summerofcode.withgoogle.com/archive/2019/organizations/5926253033422848/
46,Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,"android,  java,  php,  python,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/6180395375132672/
47,Django Software Foundation,The web framework for perfectionists with deadlines.,"python,  django",https://summerofcode.withgoogle.com/archive/2019/organizations/5608632467587072/
48,Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","php,  symfony,  sql,  javascript,  drupal 8",https://summerofcode.withgoogle.com/archive/2019/organizations/4872193886912512/
49,Earth Science Information Partners,Supporting community development of visionary Earth science data technology.,"python,  kubernetes,  jupyter,  deep learning,  gdal",https://summerofcode.withgoogle.com/archive/2019/organizations/6268499498893312/
50,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python,  html/css/js,  rest,  angular,  golang",https://summerofcode.withgoogle.com/archive/2019/organizations/6739854375780352/
51,FFmpeg,"A complete, cross-platform solution to record, convert and stream multimedia.","c99,  assembler",https://summerofcode.withgoogle.com/archive/2019/organizations/6415948024643584/
52,FOSDEM,The organization that handles all aspects of the FOSDEM conference,"javascript,  grafana,  voctomix,  influxdb,  ruby on rails",https://summerofcode.withgoogle.com/archive/2019/organizations/5379070022385664/
53,FOSSASIA,Improving People's live with Open Tech,"javascript,  python,  java,  reactjs,  c",https://summerofcode.withgoogle.com/archive/2019/organizations/5483378286002176/
54,FOSSology Project,FOSSology is an open source license compliance software system and toolkit.,"postgresql,  php,  c/c++,  jquery,  bash",https://summerofcode.withgoogle.com/archive/2019/organizations/4832912116023296/
55,FrameNet Brasil at the Federal University of Juiz de Fora,Natural Language Understanding with structured computational semantics,"php,  mysql,  javascript,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/5090343328940032/
56,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,"verilog,  compiler,  risc-v,  web development,  jenkins",https://summerofcode.withgoogle.com/archive/2019/organizations/5087457110917120/
57,FreeBSD,FreeBSD: The Foundation of the Internet,"c/c++,  llvm,  shell script,  assembly,  make",https://summerofcode.withgoogle.com/archive/2019/organizations/6504969929228288/
58,FreeType,FreeType font rendering library,"c,  gnu make,  gnu autotools,  python,  fonts",https://summerofcode.withgoogle.com/archive/2019/organizations/6561043747176448/
59,freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"c,  python,  ruby,  openwrt,  html/css/js",https://summerofcode.withgoogle.com/archive/2019/organizations/6609278192844800/
60,"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,"perl,  mysql,  javascript,  python,  rest",https://summerofcode.withgoogle.com/archive/2019/organizations/4535509118877696/
61,GENIVI Alliance,Developing open software for IVI and the connected car.,"yocto,  embedded,  automotive,  some/ip",https://summerofcode.withgoogle.com/archive/2019/organizations/5661409025720320/
62,Gentoo Foundation,"A flexible, source-based Linux distribution.","shell script,  bash,  c/c++,  python,  linux kernel",https://summerofcode.withgoogle.com/archive/2019/organizations/4508206280212480/
63,Git,"fast, scalable, distributed revision control system","c,  shell,  git",https://summerofcode.withgoogle.com/archive/2019/organizations/6548634445807616/
64,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,"java,  mongodb,  spring",https://summerofcode.withgoogle.com/archive/2019/organizations/6722565253365760/
65,GNOME,The elegant and ethical desktop experience,"c,  javascript,  gtk+,  python,  rust",https://summerofcode.withgoogle.com/archive/2019/organizations/6458159500099584/
66,GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,"c/c++,  c++ libraries c++11 c++14 c++17 c++20,  c++17,  gnss,  sdr",https://summerofcode.withgoogle.com/archive/2019/organizations/6369884148072448/
67,GNU Compiler Collection,A set of compilers produced by the GNU project,"c/c++,  gnu autotools",https://summerofcode.withgoogle.com/archive/2019/organizations/4808868352229376/
68,GNU Mailman,the GNU Mailing List Manager,"python 3,  email,  rest,  django",https://summerofcode.withgoogle.com/archive/2019/organizations/5170270925488128/
69,GNU Octave,Free Your Numbers,"c++,  hg",https://summerofcode.withgoogle.com/archive/2019/organizations/6521761976287232/
70,GNU Radio,GNU Radio: The free & open software radio ecosystem.,"python,  c++,  qt,  android",https://summerofcode.withgoogle.com/archive/2019/organizations/6350475543183360/
71,Godot Engine,Multi-platform fully-featured 2D and 3D game engine,"c++,  gdscript,  opengl,  cpp,  github",https://summerofcode.withgoogle.com/archive/2019/organizations/4692174627667968/
72,gprMax,Simulating electromagnetic wave propagation for Ground Penetrating Radar,"python,  cuda,  openmp,  cython,  mpi",https://summerofcode.withgoogle.com/archive/2019/organizations/5844947004030976/
73,Haiku,Integrated operating system for personal computers,"c++,  unix,  posix,  arm,  x86",https://summerofcode.withgoogle.com/archive/2019/organizations/4805982134206464/
74,Haskell.Org,"Standardized, statically typed, lazy functional programming language","haskell,  ghc,  servant,  codeworld,  cabal",https://summerofcode.withgoogle.com/archive/2019/organizations/6049761981890560/
75,Hydra Ecosystem,Automate REST APIs. Next generation API clients.,"python,  redis,  flask,  javascript,  sql",https://summerofcode.withgoogle.com/archive/2019/organizations/5054921525690368/
76,INCF,Advancing global collaborative brain research,"python,  javascript,  jupyter,  c++,  xml",https://summerofcode.withgoogle.com/archive/2019/organizations/5347624150892544/
77,Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OS X & Linux.","svg,  css,  c++11,  gtk,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/5818074534510592/
78,Institut für Angewandte Informatik (InfAI) e.V.,Putting scientific research into practice.,"java,  javascript,  a-frame,  neo4j,  htc vive",https://summerofcode.withgoogle.com/archive/2019/organizations/4934728610742272/
79,Intel Media And Audio For Linux,Intel Media And Audio For Linux,"video,  audio,  ffmpeg,  gstreamer,  hardware acceleration",https://summerofcode.withgoogle.com/archive/2019/organizations/4612056525832192/
80,InterMine,"Integrating biological data sources, making it easy to query and analyse data","java,  python,  javascript,  clojure,  r",https://summerofcode.withgoogle.com/archive/2019/organizations/6502123104108544/
81,Internet Archive,Universal Access to All Knowledge,"python,  javascript,  node.js,  php,  elasticsearch",https://summerofcode.withgoogle.com/archive/2019/organizations/5931882041049088/
82,Internet Systems Consortium,We support the infrastructure of the Internet with Open Source,"c/c++,  c99,  mysql,  python,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/6473524057735168/
83,JabRef,The open-source reference manager,"java,  javafx,  latex",https://summerofcode.withgoogle.com/archive/2019/organizations/5195087733063680/
84,JBoss Community,Community of Java projects around JBoss Middleware,"java,  golang,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/6481976553373696/
85,JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,"ros,  gazebo,  python,  c/c++,  opencv",https://summerofcode.withgoogle.com/archive/2019/organizations/4962509264519168/
86,Jenkins project,Open-source automation server for building great things at any scale,"java,  javascript,  docker,  kubernetes,  machine learning",https://summerofcode.withgoogle.com/archive/2019/organizations/4658407594786816/
87,Joomla,"Joomla, the flexible platform empowering website creators.","php,  javascript,  mysql,  html/css,  cms",https://summerofcode.withgoogle.com/archive/2019/organizations/6743345328553984/
88,JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots,"ros,  lisp",https://summerofcode.withgoogle.com/archive/2019/organizations/5987024522182656/
89,Kapitan,Generic templated configuration management for kubernetes and more,"kubernetes,  terraform,  python,  jinja2,  jsonnet",https://summerofcode.withgoogle.com/archive/2019/organizations/6263521917009920/
90,KDE Community,Experience Freedom!,"c++,  qt,  qt5",https://summerofcode.withgoogle.com/archive/2019/organizations/6750932035960832/
91,Kiwix,Internet content for people without internet access,"android,  java,  c++,  python,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/5778289111597056/
92,KNIME,Open for Innovation,"javascript,  java,  tensorflow",https://summerofcode.withgoogle.com/archive/2019/organizations/6612711935311872/
93,Kodi Foundation,The ultimate entertainment center,"c++,  ffmpeg,  sqlite,  mysql,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/4913612756353024/
94,LabLua,Programming Languages Research with emphasis on the Lua language,"lua,  céu",https://summerofcode.withgoogle.com/archive/2019/organizations/4943100659630080/
95,Libre Space Foundation,Open-source software and hardware technologies for space,"python,  django,  arduino,  raspberry pi,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/6088409171361792/
96,LibreHealth,Healthcare for Humanity,"java,  javascript,  webcomponents,  mysql",https://summerofcode.withgoogle.com/archive/2019/organizations/4948859590017024/
97,LibreOffice,LibreOffice is a free and open source office suite.,"c++,  python,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/6381024487931904/
98,Libvirt,virtualization abstraction library,"virtualization,  kvm,  xen,  c,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/4556574457069568/
99,Linkerd,Ultralight service mesh for Kubernetes and beyond,"golang,  rust,  kubernetes,  react,  prometheus",https://summerofcode.withgoogle.com/archive/2019/organizations/6364232440872960/
100,Liquid Galaxy project,Liquid Galaxy delivers panoramic views across multiple displays and computers,"python,  nodejs,  android,  maps api",https://summerofcode.withgoogle.com/archive/2019/organizations/4783124586692608/
