,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
0,3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,"c/c++,  cmake,  opencv,  ros,  boost",https://summerofcode.withgoogle.com/archive/2018/organizations/5685665089978368/
1,52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript,  java,  spring,  r,  big data",https://summerofcode.withgoogle.com/archive/2018/organizations/5067792839606272/
2,AerospaceResearch.net,making space together,"python,  c/c++,  vhdl,  boinc,  java",https://summerofcode.withgoogle.com/archive/2018/organizations/5715161717407744/
3,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python,  java,  javascript,  ai,  jupyter",https://summerofcode.withgoogle.com/archive/2018/organizations/5756292874371072/
4,Amahi,"Amahi, a home digital assistant at your fingertips.",,https://summerofcode.withgoogle.com/archive/2018/organizations/5083924199899136/
5,AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"scala,  isabelle proof assistant,  browser extension,  javascript/html5/css3,  android/ios",https://summerofcode.withgoogle.com/archive/2018/organizations/6209824106741760/
6,Apache Software Foundation,Providing open source software to the public free of charge,"c,  java,  erlang",https://summerofcode.withgoogle.com/archive/2018/organizations/5175246747336704/
7,Apertium,A free/open-source platform for machine translation and language technology,"c++,  python,  xml,  fsts",https://summerofcode.withgoogle.com/archive/2018/organizations/5754587369701376/
8,Apertus Association,Open Technology for Professional Film Production,"fpga,  embedded,  linux,  c/c++,  vhdl",https://summerofcode.withgoogle.com/archive/2018/organizations/5706275094528000/
9,appleseedhq,A modern open source rendering engine for animation and visual effects,"c/c++,  qt",https://summerofcode.withgoogle.com/archive/2018/organizations/5125340301099008/
10,ArduPilot,The worlds most advanced open source autopilot,"drones,  python,  linux,  c/c++,  robotics",https://summerofcode.withgoogle.com/archive/2018/organizations/5149138983321600/
11,BeagleBoard.org Foundation,Open hardware and software for physical computing,"linux,  gcc,  real-time,  physical computing,  iot",https://summerofcode.withgoogle.com/archive/2018/organizations/5713309579870208/
12,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang,  xmpp",https://summerofcode.withgoogle.com/archive/2018/organizations/5082029850886144/
13,BeeWare Project,Tools for cross-platform Python application development.,"python,  ios,  android,  javascript,  java",https://summerofcode.withgoogle.com/archive/2018/organizations/5679790782676992/
