,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
120,NV Access,Empowering lives through non-visual access to technology,"python,  c++,  ui automation,  iaccessible2,  win32 api",https://summerofcode.withgoogle.com/archive/2020/organizations/5653128168341504/
121,Open Bioinformatics Foundation (OBF),Promoting practice & philosophy of OSS & Open Science in biological research.,"python,  javascript,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/4595548239167488/
122,Open Chemistry,Advancing Open Source and Open Science for Chemistry,"c/c++,  python,  javascript,  opengl,  html",https://summerofcode.withgoogle.com/archive/2020/organizations/5796522697949184/
123,Open Genome Informatics,Association of open access genomics and bioinformatics projects.,"neo4j,  python,  javascript,  react,  r-project",https://summerofcode.withgoogle.com/archive/2020/organizations/5089985813807104/
124,Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,"java,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/4541796253696000/
125,Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry","ros,  gazebo,  c++,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5551857973329920/
126,OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,"python,  julia,  spark,  numba,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/4577601315667968/
127,OpenCV,https://opencv.org,"c/c++,  python 3,  javascript,  cuda",https://summerofcode.withgoogle.com/archive/2020/organizations/6410072298618880/
128,OpenEMR,OpenEMR is a leader in healthcare open-source software,"php,  mysql,  javascript,  docker,  html",https://summerofcode.withgoogle.com/archive/2020/organizations/6277255937916928/
129,OpenHMD,Multi-Platform Open Source driver for AR/VR/XR devices with stable ABI.,"c99,  opengl,  vulkan,  opencv,  libusb",https://summerofcode.withgoogle.com/archive/2020/organizations/6405402461208576/
130,OpenMined,Answer questions using data you cannot see.,"deep learning,  federated learning,  homomorphic encryption,  secure multi-party computation,  differential privacy",https://summerofcode.withgoogle.com/archive/2020/organizations/5934410743939072/
131,OpenMRS,Write code. Save lives.,"java,  javascript,  spring,  mysql,  android",https://summerofcode.withgoogle.com/archive/2020/organizations/6119294959616000/
132,OpenRefine,"a free, open source power tool for working with messy data and improving it","java,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/6727913602285568/
133,OpenStreetMap,Creating and distributing free geographic data for the world.,"javascript,  java,  python,  sql,  docker",https://summerofcode.withgoogle.com/archive/2020/organizations/5531645890789376/
134,openSUSE Project,openSUSE is a worldwide Free and Open Source Software community and project.,"linux,  python,  perl,  rpm,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/5703501222510592/
135,OpenWISP,A Hackable Network Management System for the 21st Century,"python,  django,  openwrt,  javascript,  lua",https://summerofcode.withgoogle.com/archive/2020/organizations/4717183558483968/
136,Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,"angular,  python,  css,  kotlin,  webpack",https://summerofcode.withgoogle.com/archive/2020/organizations/4686040649957376/
137,Orcasound,Humans & machines listening together to save the whales.,"elixir,  react,  javascript,  python,  raspberry pi",https://summerofcode.withgoogle.com/archive/2020/organizations/6216078121762816/
138,OSGeo,The Open Source Geospatial Foundation,"c/c++,  python,  sql,  open source databases,  java",https://summerofcode.withgoogle.com/archive/2020/organizations/5355444958134272/
139,OWASP Foundation,"OWASP, The Open Web Application Security Project","python,  javascript,  .net,  node.js",https://summerofcode.withgoogle.com/archive/2020/organizations/5260035782868992/
140,PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models","r,  python,  docker,  postgresql,  kubernetes",https://summerofcode.withgoogle.com/archive/2020/organizations/4860868635918336/
141,Percona,Unbiased open source database experts.,"javascript,  shell script,  golang,  prometheus,  grafana",https://summerofcode.withgoogle.com/archive/2020/organizations/5002697415065600/
142,Performance Co-Pilot,System-level performance analysis toolkit,"c,  redis,  grafana,  rest,  libuv",https://summerofcode.withgoogle.com/archive/2020/organizations/5233572744527872/
143,Pitivi,Allowing everyone on the planet to express themselves through filmmaking,"gtk,  gstreamer,  c,  python 3",https://summerofcode.withgoogle.com/archive/2020/organizations/6385935689711616/
144,Point Cloud Library,An open project for 2D/3D image and point cloud processing.,"cpp,  cmake,  devops",https://summerofcode.withgoogle.com/archive/2020/organizations/6128597321908224/
145,PostgreSQL,PostgreSQL is the world's most advanced Open Source database!,"postgresql,  postgres,  sql,  c,  perl",https://summerofcode.withgoogle.com/archive/2020/organizations/6566134096068608/
146,Postman,The Collaboration Platform for API Development,"node.js,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/5654790253576192/
147,Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"python,  android,  opengl,  java,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/5988762313555968/
148,Purr Data,realtime audio/video visual programming language,"html5,  javascript,  opengl,  svg,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/5158498192588800/
149,Python Software Foundation,Python is a programming language used by software developers and scientists.,python,https://summerofcode.withgoogle.com/archive/2020/organizations/6706162411503616/
150,QEMU,Open source machine emulator and virtualizer,"linux,  kvm,  c,  virtualization,  rust",https://summerofcode.withgoogle.com/archive/2020/organizations/6231608723505152/
151,Qubes OS,A reasonably security operating system,"c,  python,  xen,  shell,  linux",https://summerofcode.withgoogle.com/archive/2020/organizations/4924517870206976/
152,R Project for Statistical Computing,R is a free software environment for statistical computing and graphics,"r-project,  c,  c++,  fortran,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/4761521042751488/
153,Radare,Radare2 - Reverse Engineering Framework and Toolset,"c,  c++,  python,  go,  qt",https://summerofcode.withgoogle.com/archive/2020/organizations/6102444192301056/
154,ReactOS,Open your windows to freedom!,"c,  c++,  win32,  nt",https://summerofcode.withgoogle.com/archive/2020/organizations/5352970822090752/
155,Red Hen Lab,Research on Multimodal Communication,"nlp,  asr,  opencv,  machine learning,  data science",https://summerofcode.withgoogle.com/archive/2020/organizations/6243181680656384/
156,RoboComp,An open-source framework to develop and manage robot components,"python,  c++11,  component-based development,  qt,  opencv",https://summerofcode.withgoogle.com/archive/2020/organizations/6622081011154944/
157,Rocket.Chat,Open source team chat and federated collaboration platform,"javascript,  react,  reactnative,  chatbots,  ruby",https://summerofcode.withgoogle.com/archive/2020/organizations/4707433043197952/
158,RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,"c/c++,  python,  assembly,  posix,  bsd unix",https://summerofcode.withgoogle.com/archive/2020/organizations/4511020028002304/
159,Ruby,"The Ruby programming language, libraries, and Ruby projects","ruby,  c,  java",https://summerofcode.withgoogle.com/archive/2020/organizations/5633129894641664/
160,SageMath,open-source mathematics software system,"python,  cython",https://summerofcode.withgoogle.com/archive/2020/organizations/6190385258299392/
161,Samba,Opening windows to a wider world,"smb,  cifs,  c,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5671203068444672/
162,SCoRe Lab,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python,  mobile,  cloud,  web development,  machine learning",https://summerofcode.withgoogle.com/archive/2020/organizations/5384571547287552/
163,ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++,  sdl,  opengl,  assembly,  lua",https://summerofcode.withgoogle.com/archive/2020/organizations/6265295930392576/
164,Shogun,Unified and efficient Machine Learning,"python,  c++,  data science,  machine learning,  matlab",https://summerofcode.withgoogle.com/archive/2020/organizations/4722091934351360/
165,SPDX,An open standard for communicating Software Bill of Materials,"python,  java,  golang,  node.js,  xml",https://summerofcode.withgoogle.com/archive/2020/organizations/6283949946437632/
166,Ste||ar group,Shaping a Scalable Future,"cpp,  hpx,  python,  hpc,  cuda",https://summerofcode.withgoogle.com/archive/2020/organizations/6742658493448192/
167,strace,linux syscall tracer,"linux,  c,  shell,  make,  awk",https://summerofcode.withgoogle.com/archive/2020/organizations/5627435304878080/
168,Submitty,Programming assignment submission with automated grading and manual TA grading,"php,  python,  postgresql,  c++,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/5702344097923072/
169,Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.","python,  javascript,  gtk,  pygame,  c",https://summerofcode.withgoogle.com/archive/2020/organizations/6305701137219584/
170,Swift,"Swift is a modern, type-safe, and fun general purpose programming language","swift,  c++",https://summerofcode.withgoogle.com/archive/2020/organizations/4543471290941440/
