,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
0,52° North GmbH,52°North works on innovative ideas and technologies in geoinformatics,"java,  android,  javascript,  python,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/
1,AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps.","python,  c/c++,  rust,  javascript,  postgresql",https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/
2,Academy Software Foundation (ASWF),Open source foundation for film industry projects.,"c/c++,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/6043464124334080/
3,Accord Project,Linux Foundation’s open source project for smart legal contracts.,"javascript,  react,  coq,  ocaml,  compiler",https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/
4,AerospaceResearch.net,making space together,"python,  vhdl,  raspberry pi,  sqlite,  c++",https://summerofcode.withgoogle.com/archive/2020/organizations/5720999993016320/
5,afl++,Making fuzzing more effective every day,"fuzzing,  c/c++,  qemu,  llvm,  sanitizers",https://summerofcode.withgoogle.com/archive/2020/organizations/6438212253253632/
6,Amahi,Making Home Networking and Storage Simple,,https://summerofcode.withgoogle.com/archive/2020/organizations/5480514170912768/
7,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"vulkan,  opengl,  c/c++,  java,  python 3",https://summerofcode.withgoogle.com/archive/2020/organizations/5158050039595008/
8,AnitaB.org Open Source,Women transform technology. Technology transforms the world.,"ios,  android,  python,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/5270382996619264/
9,AOSSIE,Australian Umbrella Org for Open-Source Projects,"javascript,  swift,  kotlin,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/
10,Apertium,A free/open-source machine translation platform,"c++,  bash,  python,  xml",https://summerofcode.withgoogle.com/archive/2020/organizations/6269334810263552/
11,apertus° Association,Open Technology for Professional Film Production,"fpga,  vhdl,  c/c++,  linux,  embedded",https://summerofcode.withgoogle.com/archive/2020/organizations/6145737898852352/
12,appleseed,A modern open source rendering engine for animation and visual effects,"c++11,  python,  opengl",https://summerofcode.withgoogle.com/archive/2020/organizations/5459614121852928/
13,Arduino,Open source electronic prototyping platform,"arduino,  golang,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/6264664972853248/
14,ArduPilot,"The world's most versatile, trusted and open autopilot","drones,  python,  robotics,  linux,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/5108253115023360/
15,BeagleBoard.org,Open hardware community driven single board computers - Linux at the edge,"linux,  tensorflow,  python,  javascript,  opencv",https://summerofcode.withgoogle.com/archive/2020/organizations/5073969981423616/
16,BioGears,ARA is an employee-owned scientific research and engineering company.,"c++11,  c/c++,  python,  cmake",https://summerofcode.withgoogle.com/archive/2020/organizations/6683736474648576/
17,Blender Foundation,We build a free and open source 3D creation suite.,"c,  c++,  python,  opengl,  vulkan",https://summerofcode.withgoogle.com/archive/2020/organizations/4852657564418048/
18,Boost C++,Boost provides free peer-reviewed portable C++ source libraries,"c++17,  c++11,  c++",https://summerofcode.withgoogle.com/archive/2020/organizations/6585514028695552/
19,BRL-CAD,"We make solid modeling, 3D printing, & other computer-aided technologies (CAx)","opencl,  c/c++,  python,  tcl/tk,  opengl",https://summerofcode.withgoogle.com/archive/2020/organizations/6396282903461888/
20,caMicroscope,Toolkit for cancer imaging research,"javascript,  python,  java,  medical imaging,  tensorflow",https://summerofcode.withgoogle.com/archive/2020/organizations/5978557471260672/
21,Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"python,  r-project,  javascript,  react,  nodejs",https://summerofcode.withgoogle.com/archive/2020/organizations/5106421244362752/
22,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC","go,  javascript,  react,  rust,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/6587176113930240/
23,Catrobat,Computational thinking for all with free visual coding apps,"java,  android,  swift,  ios,  php",https://summerofcode.withgoogle.com/archive/2020/organizations/5707287336845312/
24,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer...","c,  python,  ml,  flutter,  rust",https://summerofcode.withgoogle.com/archive/2020/organizations/5987859833552896/
25,Ceph Foundation,The Future of Storage,"c/c++,  jenkins,  python,  javascript,  shell script",https://summerofcode.withgoogle.com/archive/2020/organizations/6273779027673088/
26,CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,"c/c++,  python,  data analysis,  machine learning,  concurrency",https://summerofcode.withgoogle.com/archive/2020/organizations/5668658770083840/
27,CGAL Project,C++ library of computational geometry and geometry processing,"c++,  git,  qt",https://summerofcode.withgoogle.com/archive/2020/organizations/6008526545092608/
28,CHAOSS,CHAOSS creates software and metrics to better understand community health,"python,  javascript,  kibana,  elasticsearch,  mysql",https://summerofcode.withgoogle.com/archive/2020/organizations/6232321151205376/
29,Chapel,A Productive Parallel Programming Language,"chapel,  high performance computing,  c,  c++,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/6722154118250496/
30,Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",java,https://summerofcode.withgoogle.com/archive/2020/organizations/5983189996142592/
31,Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,"java,  antlr,  xpath",https://summerofcode.withgoogle.com/archive/2020/organizations/4788704964509696/
32,CircuitVerse.org,Have fun exploring logic circuits right from your browser!,"rails,  javascript,  bootstrap,  html5,  canvas",https://summerofcode.withgoogle.com/archive/2020/organizations/5373782455222272/
33,CiviCRM,Open source CRM for nonprofits and civic sector organizations.,"php,  javascript,  angularjs,  mysql",https://summerofcode.withgoogle.com/archive/2020/organizations/4923749205278720/
34,Cloud Native Computing Foundation (CNCF),Building Sustainable Ecosystems for Cloud Native,"kubernetes,  golang,  cloud,  rust,  service mesh",https://summerofcode.withgoogle.com/archive/2020/organizations/5861737481371648/
35,CloudCV,Building platforms for reproducible AI research,"python,  django,  aws,  docker,  docker",https://summerofcode.withgoogle.com/archive/2020/organizations/6719687229964288/
36,Continuous Delivery Foundation,A Neutral Home for the Next Generation of Continuous Delivery Collaboration,"tekton,  spinnaker,  ci/cd,  screwdriver",https://summerofcode.withgoogle.com/archive/2020/organizations/6695549513760768/
37,coreboot,"Fast, secure and flexible OpenSource firmware","c,  assembly,  x86,  arm",https://summerofcode.withgoogle.com/archive/2020/organizations/5721709165936640/
38,Creative Commons,"Nonprofit building a vibrant, collaborative, and global digital commons.","javascript,  vue.js,  python,  django,  wordpress",https://summerofcode.withgoogle.com/archive/2020/organizations/5450793232105472/
39,CRIU,Checkpoint/Restore in User-space,"linux,  c,  assembly",https://summerofcode.withgoogle.com/archive/2020/organizations/5765173698101248/
40,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python 3,  php,  mysql,  html,  css",https://summerofcode.withgoogle.com/archive/2020/organizations/5649030769541120/
41,Dart,Dart is a client-optimized language for fast apps on any platform.,"dart,  flutter,  programming-language",https://summerofcode.withgoogle.com/archive/2020/organizations/5806784012353536/
42,DBpedia,Global and Unified Access to Knowledge.,"python,  scala,  java,  javascript,  rdf",https://summerofcode.withgoogle.com/archive/2020/organizations/4792495004712960/
43,Debian,The Universal Operating System,"git,  python,  javascript,  c/c++,  irc",https://summerofcode.withgoogle.com/archive/2020/organizations/6279124282245120/
44,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace","c++,  javascript,  android,  php,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/6465676589400064/
45,Django Software Foundation,The web framework for perfectionists with deadlines.,"python,  django",https://summerofcode.withgoogle.com/archive/2020/organizations/5420240042721280/
46,Drupal,Drupal is a Framework/CMS. It's built many of the sites and apps you use daily.,"php,  symfony,  sql,  javascript,  drupal 8",https://summerofcode.withgoogle.com/archive/2020/organizations/5836893377265664/
47,Eclipse Foundation,"Non-profit, member-driven organization, a community of developers & OSS projects","eclipsejavaide,  jakartaee,  java,  che,  deep learning",https://summerofcode.withgoogle.com/archive/2020/organizations/4711920076062720/
48,Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.","java,  react,  node.js,  golang",https://summerofcode.withgoogle.com/archive/2020/organizations/4573440532545536/
49,Embox,Modular and configurable OS for embedded applications,"c,  gcc,  assembly",https://summerofcode.withgoogle.com/archive/2020/organizations/4824946267652096/
50,Erlang Ecosystem Foundation,Supporting the Beam community,"erlang,  elixir,  lfe,  beam",https://summerofcode.withgoogle.com/archive/2020/organizations/4857921046839296/
51,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python 3,  rest,  linux,  web development,  linux distribution",https://summerofcode.withgoogle.com/archive/2020/organizations/6477554824773632/
52,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video","c,  asm,  git",https://summerofcode.withgoogle.com/archive/2020/organizations/4857919167791104/
53,FOSSology,Open Source Compliance with Open Source Software,"php,  javascript,  c/c++,  twig,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/6163301563629568/
54,FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,"php,  mysql,  javascript,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5699340439388160/
55,Free and Open Source Silicon Foundation,Free the last nanometer! Open source silicon and EDA tools,"verilog,  risc-v,  python,  c++",https://summerofcode.withgoogle.com/archive/2020/organizations/6376070820921344/
56,FreeBSD Project,FreeBSD: The Foundation of the Internet,"c/c++,  llvm,  shell script,  assembly,  make",https://summerofcode.withgoogle.com/archive/2020/organizations/5650233226166272/
57,FreeType,FreeType is a freely available software library to render fonts.,"c,  gnu make,  gnu autotools,  python,  fonts",https://summerofcode.withgoogle.com/archive/2020/organizations/5205992846917632/
58,FRRouting,"Routing suite for *nix platforms including BGP, IS-IS, LDP, OSPF, PIM, and RIP.","c,  linux,  linux kernel,  networking,  lua",https://summerofcode.withgoogle.com/archive/2020/organizations/5039063742021632/
59,GDevelop,The cross-platform game engine designed for everyone.,"javascript,  c/c++,  web development,  game development,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/5791816890187776/
60,Gentoo Foundation,"A highly flexible, source-based Linux distribution","shell,  bash,  c/c++,  python,  linux",https://summerofcode.withgoogle.com/archive/2020/organizations/4837823317803008/
61,GeomScale,Scalable algorithms for geometric statistics,"c++,  r,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/4606415412396032/
62,Git,"fast, scalable, distributed revision control system","c,  shell script,  git",https://summerofcode.withgoogle.com/archive/2020/organizations/5445576591671296/
63,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,"java,  python,  node.js,  mongodb,  spring",https://summerofcode.withgoogle.com/archive/2020/organizations/5086080816119808/
64,GNOME,The elegant and ethical desktop experience,"c,  rust,  gtk,  vala,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/4988908019908608/
65,GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver.,"c++,  gnss",https://summerofcode.withgoogle.com/archive/2020/organizations/5600351610208256/
66,GNU Compiler Collection (GCC),GCC,"c/c++,  gnu autotools,  gnu make",https://summerofcode.withgoogle.com/archive/2020/organizations/4862862406713344/
67,GNU Octave,Free Your Numbers,"c++,  hg",https://summerofcode.withgoogle.com/archive/2020/organizations/4670095013445632/
68,GNU Radio,The Free & Open Software Radio Ecosystem,"python,  c++,  qt",https://summerofcode.withgoogle.com/archive/2020/organizations/6206096819093504/
69,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,"c/c++,  opengl,  vulkan",https://summerofcode.withgoogle.com/archive/2020/organizations/4877284235804672/
70,GPAC,C multimedia framework,"c,  javascript,  opengl",https://summerofcode.withgoogle.com/archive/2020/organizations/6028158437949440/
71,GraphQL Foundation,GraphQL is a fast and efficient query language for APIs.,"graphql,  javascript,  react,  node.js",https://summerofcode.withgoogle.com/archive/2020/organizations/6354766843609088/
72,Haiku,A desktop operating system written in C++,"c++,  posix,  unix,  webkit",https://summerofcode.withgoogle.com/archive/2020/organizations/5963723224645632/
73,Haskell.org,"Standardized, statically typed, lazy functional programming language","haskell,  ghc,  cabal,  codeworld,  servant",https://summerofcode.withgoogle.com/archive/2020/organizations/4947391960055808/
74,Hazelcast,In-Memory Computing Platform,"java,  distributed systems",https://summerofcode.withgoogle.com/archive/2020/organizations/6487112334966784/
75,Homebrew,The Missing Package Manager for macOS (or Linux),"ruby,  bash",https://summerofcode.withgoogle.com/archive/2020/organizations/6369733965774848/
76,Hydra Ecosystem,Automate REST APIs. Build next generation API clients.,"python,  rest,  apis,  hydra",https://summerofcode.withgoogle.com/archive/2020/organizations/4811360279461888/
77,INCF,Enabling open and FAIR neuroscience,"python,  c/c++,  java,  tensorflow,  javascript",https://summerofcode.withgoogle.com/archive/2020/organizations/6550809786974208/
78,Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript,  html,  css,  node.js",https://summerofcode.withgoogle.com/archive/2020/organizations/5992304050962432/
79,Inkscape,Vector graphics editor,"c++,  svg,  gtk,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/4527035860385792/
80,Intel Media And Audio For Linux,We work on Linux opensource video and audio software for Intel.,"ffmpeg,  gstreamer,  sound open firmware,  libxcam,  vaapi",https://summerofcode.withgoogle.com/archive/2020/organizations/5820969215590400/
81,Internet Archive,Universal Access to All Knowledge,"javascript,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5652935767228416/
82,JBoss Community,Community of Java projects around JBoss Middleware,"java,  golang,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/6073291866898432/
83,JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,"ros,  gazebo,  python,  c/c++,  opencv",https://summerofcode.withgoogle.com/archive/2020/organizations/6129466817904640/
84,Jenkins project,Open-source automation server for building great things at any scale,"java,  javascript,  docker,  kubernetes,  go",https://summerofcode.withgoogle.com/archive/2020/organizations/5087283272744960/
85,Joplin,A note taking and to-do application with synchronisation capabilities,"node.js,  electron,  react native,  terminal-kit,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/6331892753760256/
86,Kapitan,"Templated configuration management for Kubernetes, Terraform and other things","kubernetes,  jsonnet,  python 3,  jinja2,  terraform",https://summerofcode.withgoogle.com/archive/2020/organizations/5566516864483328/
87,KDE Community,International community creating Free Software together,"c++,  qt,  c,  opencv",https://summerofcode.withgoogle.com/archive/2020/organizations/4992468447133696/
88,Kiwix,Internet content for people without internet access,"python 3,  c/c++,  javascript,  node.js,  kotlin",https://summerofcode.withgoogle.com/archive/2020/organizations/5280668067561472/
89,Kodi Foundation,The ultimate entertainment center,"ffmpeg,  python,  c++,  sqlite,  mysql",https://summerofcode.withgoogle.com/archive/2020/organizations/6555254004383744/
90,Kubeflow,The machine learning toolkit for Kubernetes.,"python,  jupyter notebook,  tensorflow,  kustomize,  kubernetes",https://summerofcode.withgoogle.com/archive/2020/organizations/5374310232883200/
91,LabLua,Programming Languages Research with emphasis on the Lua language,"lua,  céu,  lunatik,  pallene",https://summerofcode.withgoogle.com/archive/2020/organizations/6003184142647296/
92,Libre Space Foundation,Open-source software and hardware technologies for space,"python,  django,  sdr,  embedded,  space applications",https://summerofcode.withgoogle.com/archive/2020/organizations/6184201612689408/
93,LibreHealth,Healthcare for Humanity,"java,  javascript,  python 3,  android,  php",https://summerofcode.withgoogle.com/archive/2020/organizations/5842452507787264/
94,LibreOffice,LibreOffice is a free and open source office suite.,"c++,  python,  java",https://summerofcode.withgoogle.com/archive/2020/organizations/6094595844210688/
95,libvirt,virtualization abstraction library,"kvm,  xen,  hypervisor,  c,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5067783886340096/
96,Linkerd,Linkerd is the ultralight service mesh for Kubernetes and beyond,"linkerd,  kubernetes,  golang,  rust",https://summerofcode.withgoogle.com/archive/2020/organizations/6500210139725824/
97,Liquid Galaxy project,Liquid Galaxy is a remarkable panoramic system that is tremendously compelling.,"python,  vue,  html,  javascript,  java",https://summerofcode.withgoogle.com/archive/2020/organizations/6406567974404096/
98,lowRISC,Open to the core - collaborative engineering for open source silicon and tools,"systemverilog,  c++,  fpga,  python,  risc-v",https://summerofcode.withgoogle.com/archive/2020/organizations/6088258989064192/
99,MacPorts,Open Source package manager for macOS.,"tcl,  c,  python,  scripting,  buildbot",https://summerofcode.withgoogle.com/archive/2020/organizations/4588406077652992/
100,MariaDB Foundation,One of the most popular databases on the web with many notable users,"mariadb,  mysql,  c,  c++,  java",https://summerofcode.withgoogle.com/archive/2020/organizations/5950846174494720/
101,Matrix,"An open network for secure, decentralized communication","python,  javascript,  rust,  go,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/6400769936326656/
102,MBDyn,Free general purpose Multibody Dynamics analysis,"c++,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/4670622791106560/
103,MDAnalysis,A Python toolkit for analysing molecular dynamics simulations.,"python,  cython,  numpy,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/5997649305534464/
104,MetaBrainz Foundation Inc.,"We curate and publish community maintained data sets, focused on music and books","python,  postgres,  solr,  perl,  spark",https://summerofcode.withgoogle.com/archive/2020/organizations/5387896221073408/
105,Metasploit,The world’s most used penetration testing framework,"ruby,  postgresql,  python,  c,  assembly",https://summerofcode.withgoogle.com/archive/2020/organizations/4999193090850816/
106,MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting,"python,  javascript,  gis,  julia,  mapping",https://summerofcode.withgoogle.com/archive/2020/organizations/4721222438354944/
107,MIT App Inventor,Anyone Can Build Apps That Impact the World,"javascript,  java,  google web toolkit,  android,  junit",https://summerofcode.withgoogle.com/archive/2020/organizations/6125092997693440/
108,Mixxx,DJ Mixing App With Powerful Features For All DJs,"c++,  qt,  javascript,  deep learning",https://summerofcode.withgoogle.com/archive/2020/organizations/5847122345197568/
109,mlpack,"mlpack is a fast, flexible machine learning library written in C++.","c++,  python,  templates,  machine learning,  deep learning",https://summerofcode.withgoogle.com/archive/2020/organizations/5279502554365952/
110,Moira,Moira is a realtime alerting system based on Graphite data,"golang,  javascript,  typescript,  graphite,  react",https://summerofcode.withgoogle.com/archive/2020/organizations/5420871000260608/
111,MoveIt,Moving robots into the future,"c++,  ros",https://summerofcode.withgoogle.com/archive/2020/organizations/5486699158700032/
112,Mozilla,Keeping the Internet open and accessible to all.,"javascript,  rust,  html5,  web development,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5169365365817344/
113,MuseScore,MuseScore is music notation software used by millions of musicians worldwide,"c++,  qt,  qml,  cmake",https://summerofcode.withgoogle.com/archive/2020/organizations/5017312551239680/
114,mypy,Mypy is an optional static type checker for Python.,python,https://summerofcode.withgoogle.com/archive/2020/organizations/5440234189225984/
115,MZmine,MZmine is an open-source software for mass-spectrometry data processing.,"java,  javafx",https://summerofcode.withgoogle.com/archive/2020/organizations/6328123651522560/
116,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java,  javascript,  python,  r,  rest",https://summerofcode.withgoogle.com/archive/2020/organizations/4549302816342016/
117,Neovim,hyperextensible Vim-based text editor,"c,  lua,  rpc",https://summerofcode.withgoogle.com/archive/2020/organizations/6636241820319744/
118,Netty,Netty is an asynchronous event-driven network framework,"java,  jni,  c",https://summerofcode.withgoogle.com/archive/2020/organizations/5983819074633728/
119,NumFOCUS,NumFOCUS promotes open source scientific software.,"python,  c/c++,  javascript,  r,  julia",https://summerofcode.withgoogle.com/archive/2020/organizations/6692416771325952/
